Location,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18
1/1/20 0:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1/1/20 1:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1/1/20 2:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1/1/20 3:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1/1/20 4:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1/1/20 5:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1/1/20 6:00,0.000000,0.001110,0.003608,0.002220,0.004440,0.006105,0.011655,0.011655,0.012488,0.022755,0.033300,0.028305,0.036630,0.034780,0.033670,0.044400,0.042180,0.040515
1/1/20 7:00,0.068820,0.072890,0.069098,0.085470,0.087690,0.076590,0.096570,0.110445,0.116273,0.135975,0.154290,0.154290,0.168350,0.166500,0.169460,0.188145,0.179820,0.175380
1/1/20 8:00,0.230880,0.252340,0.279998,0.260850,0.280275,0.255855,0.337163,0.313575,0.306915,0.336885,0.370463,0.355200,0.376660,0.366300,0.374070,0.396548,0.390720,0.365190
1/1/20 9:00,0.445110,0.479520,0.520590,0.466200,0.498945,0.436785,0.574148,0.513375,0.503108,0.544178,0.587190,0.554445,0.571280,0.553150,0.576830,0.600233,0.590520,0.552225
1/1/20 10:00,0.633810,0.673030,0.717338,0.642690,0.683205,0.597180,0.762015,0.666000,0.671550,0.717893,0.760628,0.707625,0.712620,0.711880,0.715950,0.759518,0.743700,0.697080
1/1/20 11:00,0.773670,0.811780,0.845820,0.768120,0.812520,0.868575,0.886335,0.768675,0.794205,0.848040,0.862193,0.794205,0.794390,0.793280,0.599030,0.843600,0.831390,0.760905
1/1/20 12:00,0.853590,0.891700,0.923798,0.838050,0.885780,0.937950,0.953213,0.819735,0.856920,0.909090,0.875235,0.839160,0.820290,0.841380,0.668590,0.880230,0.871350,0.801420
1/1/20 13:00,0.880230,0.916860,0.945720,0.855810,0.905205,0.951825,0.964035,0.819735,0.868853,0.916028,0.822788,0.834165,0.797720,0.831390,0.679320,0.839993,0.855810,0.798090
