Location,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1/1/20 0:00,0.912900,0.901340,0.842775,0.990420,0.903210,0.737460,0.696150,0.617100,0.729555,0.589815,0.256020,0.482970,0.070720,0.708220,0.534820,0.091035,0.357000,0.847620,0.861390,1.000000,0.770233,0.803420
1/1/20 1:00,0.940440,0.887400,0.823650,0.989400,0.862410,0.699720,0.616335,0.562530,0.720375,0.515865,0.203745,0.570690,0.229500,0.734740,0.499120,0.080835,0.317220,0.814470,0.817020,1.000000,0.650760,0.754120
1/1/20 2:00,0.937380,0.858160,0.787185,0.982260,0.819570,0.674730,0.564060,0.508980,0.672690,0.433755,0.169320,0.650250,0.342720,0.629680,0.361080,0.071910,0.336600,0.781830,0.775200,0.999800,0.571540,0.647020
1/1/20 3:00,0.916980,0.828240,0.735420,0.972060,0.779280,0.641070,0.520200,0.491640,0.644895,0.381990,0.170595,0.698700,0.279820,0.528020,0.217260,0.067065,0.311100,0.753780,0.746640,1.000000,0.542980,0.505240
1/1/20 4:00,0.896580,0.802740,0.664530,0.953700,0.739500,0.583440,0.470220,0.497760,0.644895,0.345525,0.142800,0.689010,0.239020,0.413780,0.121040,0.051765,0.275400,0.720630,0.726240,1.000000,0.547060,0.371280
1/1/20 5:00,0.876180,0.776900,0.591600,0.943500,0.719100,0.528870,0.433500,0.500820,0.662235,0.310845,0.129795,0.659430,0.233240,0.326400,0.060860,0.036975,0.246840,0.656880,0.697170,1.000000,0.541280,0.254660
1/1/20 6:00,0.862920,0.743920,0.513570,0.937380,0.690030,0.441660,0.357000,0.477360,0.640305,0.241230,0.132600,0.583950,0.244120,0.250580,0.029240,0.033150,0.156060,0.589560,0.648720,0.996540,0.521560,0.153680
1/1/20 7:00,0.887400,0.752080,0.389385,0.942480,0.675240,0.337620,0.333540,0.459000,0.651015,0.164220,0.069615,0.616590,0.255680,0.191420,0.015300,0.029580,0.148920,0.540090,0.588540,0.989910,0.487220,0.074800
1/1/20 8:00,0.942480,0.829600,0.377400,0.954720,0.739500,0.350880,0.433245,0.518160,0.583185,0.187680,0.103275,0.583950,0.248880,0.183260,0.014280,0.065790,0.173400,0.581400,0.530400,0.985830,0.433160,0.041480
1/1/20 9:00,0.843540,0.723520,0.231285,0.876180,0.592110,0.307020,0.403410,0.702270,0.438090,0.239955,0.123420,0.481950,0.255000,0.225760,0.033660,0.093840,0.123420,0.491130,0.490110,0.982770,0.354620,0.030260
1/1/20 10:00,0.618120,0.560320,0.171615,0.717060,0.483480,0.277950,0.320025,0.650760,0.381225,0.284580,0.124185,0.352920,0.301920,0.353940,0.093160,0.094350,0.084660,0.411570,0.468690,0.975120,0.252620,0.045220
1/1/20 11:00,0.349860,0.431800,0.152490,0.523260,0.417690,0.248370,0.269280,0.512040,0.347055,0.307785,0.125715,0.240210,0.354280,0.457980,0.126480,0.081600,0.086700,0.391680,0.466650,0.963390,0.143820,0.073440
1/1/20 12:00,0.156060,0.321640,0.136680,0.323340,0.367200,0.232560,0.251430,0.364140,0.317220,0.329715,0.166005,0.145350,0.378760,0.512380,0.165580,0.085425,0.132600,0.420750,0.486540,0.947070,0.081600,0.114240
1/1/20 13:00,0.075480,0.244800,0.124440,0.189720,0.342720,0.231540,0.249900,0.260610,0.295035,0.375615,0.235365,0.089250,0.373320,0.522240,0.219980,0.115260,0.230520,0.477360,0.532950,0.929730,0.054740,0.190400
1/1/20 14:00,0.053040,0.200600,0.106335,0.153000,0.327930,0.202980,0.237405,0.201960,0.284580,0.435540,0.299115,0.055080,0.359040,0.515440,0.259080,0.139740,0.357000,0.514080,0.582930,0.912900,0.042840,0.287300
1/1/20 15:00,0.068340,0.183260,0.100470,0.176460,0.339660,0.180030,0.245820,0.180030,0.304980,0.486030,0.363630,0.045390,0.342720,0.492320,0.298520,0.156060,0.473280,0.535500,0.618120,0.904740,0.072420,0.369920
1/1/20 16:00,0.100980,0.193800,0.120870,0.250920,0.380460,0.192270,0.290700,0.186150,0.364140,0.507960,0.412335,0.034170,0.310420,0.453900,0.321640,0.188445,0.589560,0.558960,0.660960,0.913920,0.136000,0.472600
1/1/20 17:00,0.156060,0.225080,0.164220,0.375360,0.435540,0.234090,0.342210,0.204000,0.451095,0.506940,0.461550,0.016320,0.280160,0.426700,0.347140,0.215730,0.672180,0.581400,0.720120,0.933810,0.208760,0.529040
1/1/20 18:00,0.228480,0.269620,0.218280,0.518160,0.489600,0.281520,0.372300,0.235110,0.547230,0.498780,0.447780,0.010200,0.245480,0.399840,0.334900,0.211395,0.651780,0.602820,0.773670,0.953190,0.291040,0.539920
